title,genres,language,country,release_year,director,actors,imdb_link,watched_date
Pan,Adventure|Family|Fantasy,English,USA,2015,Joe Wright,Hugh Jackman|Cara Delevingne|Nonso Anozie,http://www.imdb.com/title/tt3332064/,2015-04-06
The Revenant,Adventure|Drama|Thriller|Western,English,USA,2015,Alejandro G. Iñárritu,Leonardo DiCaprio|Tom Hardy|Lukas Haas,http://www.imdb.com/title/tt1663202/,2015-04-27
Ant-Man,Action|Adventure|Comedy|Sci-Fi,English,USA,2015,Peyton Reed,Judy Greer|Hayley Atwell|T.I.,http://www.imdb.com/title/tt0478970/,2015-05-05
Home,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,English,USA,2015,Tim Johnson,Jim Parsons|Matt Jones|April Winchell,http://www.imdb.com/title/tt2224026/,2015-10-22
Fantastic Four,Action|Adventure|Sci-Fi,English,USA,2015,Josh Trank,Tim Blake Nelson|Reg E. Cathey|Tim Heidecker,http://www.imdb.com/title/tt1502712/,2015-09-09
San Andreas,Action|Adventure|Drama|Thriller,English,USA,2015,Brad Peyton,Dwayne Johnson|Ioan Gruffudd|Archie Panjabi,http://www.imdb.com/title/tt2126355/,2015-05-14
Insurgent,Adventure|Sci-Fi|Thriller,English,USA,2015,Robert Schwentke,Kate Winslet|Theo James|Mekhi Phifer,http://www.imdb.com/title/tt2908446/,2015-12-31
The Martian,Adventure|Drama|Sci-Fi,English,USA,2015,Ridley Scott,Matt Damon|Donald Glover|Benedict Wong,http://www.imdb.com/title/tt3659388/,2015-06-27
Pan,Adventure|Family|Fantasy,English,USA,2015,Joe Wright,Hugh Jackman|Cara Delevingne|Nonso Anozie,http://www.imdb.com/title/tt3332064/,2015-01-22
Point Break,Action|Crime|Sport|Thriller,English,USA,2015,Ericson Core,Ray Winstone|Edgar Ramírez|Delroy Lindo,http://www.imdb.com/title/tt2058673/,2015-09-24
In the Heart of the Sea,Action|Adventure|Biography|Drama|History|Thriller,English,USA,2015,Ron Howard,Chris Hemsworth|Benjamin Walker|Frank Dillane,http://www.imdb.com/title/tt1390411/,2015-12-31
The Peanuts Movie,Adventure|Animation|Comedy|Family,English,USA,2015,Steve Martino,Francesca Capaldi|Venus Schultheis|Bill Melendez,http://www.imdb.com/title/tt2452042/,2015-06-26
Cinderella,Drama|Family|Fantasy|Romance,English,USA,2015,Kenneth Branagh,Hayley Atwell|Derek Jacobi|Lily James,http://www.imdb.com/title/tt1661199/,2015-05-19
Alvin and the Chipmunks: The Road Chip,Adventure|Animation|Comedy|Family|Fantasy|Music,English,USA,2015,Walt Becker,Bella Thorne|Joshua Mikel|Jesse McCartney,http://www.imdb.com/title/tt2974918/,2015-02-08
Pixels,Action|Animation|Comedy|Sci-Fi,English,USA,2015,Chris Columbus,Peter Dinklage|Adam Sandler|Josh Gad,http://www.imdb.com/title/tt2120120/,2015-08-06
Fantastic Four,Action|Adventure|Sci-Fi,English,USA,2015,Josh Trank,Tim Blake Nelson|Reg E. Cathey|Tim Heidecker,http://www.imdb.com/title/tt1502712/,2015-05-17
Hotel Transylvania 2,Animation|Comedy|Family|Fantasy,English,USA,2015,Genndy Tartakovsky,Steve Buscemi|Adam Sandler|Fran Drescher,http://www.imdb.com/title/tt2510894/,2015-01-30
Evolution,Drama|Horror|Mystery|Sci-Fi,French,France,2015,Lucile Hadzihalilovic,Nissim Renard|Roxane Duran|Julie-Marie Parmentier,http://www.imdb.com/title/tt4291590/,2015-07-26
The Last Witch Hunter,Action|Adventure|Fantasy,English,USA,2015,Breck Eisner,Vin Diesel|Joseph Gilgun|Lotte Verbeek,http://www.imdb.com/title/tt1618442/,2015-06-28
Top Cat Begins,Animation|Family,Spanish,Mexico,2015,Andrés Couturier,Sariann Monaco|David Hoffman|Ben Diskin,http://www.imdb.com/title/tt4057916/,2015-10-06
The Little Prince,Adventure|Animation|Drama|Family|Fantasy,English,France,2015,Mark Osborne,Jeff Bridges|James Franco|Mackenzie Foy,http://www.imdb.com/title/tt1754656/,2015-10-15
The Man from U.N.C.L.E.,Action|Adventure|Comedy,English,USA,2015,Guy Ritchie,Henry Cavill|Elizabeth Debicki|Christian Berkel,http://www.imdb.com/title/tt1638355/,2015-01-26
Minions,Action|Animation|Comedy|Family|Sci-Fi,English,USA,2015,Kyle Balda,Steve Carell|Jon Hamm|Steve Coogan,http://www.imdb.com/title/tt2293640/,2015-09-18
The SpongeBob Movie: Sponge Out of Water,Adventure|Animation|Comedy|Family|Fantasy,English,USA,2015,Paul Tibbitt,Tim Conway|Billy West|Eddie Deezen,http://www.imdb.com/title/tt2279373/,2015-06-17
Blackhat,Action|Crime|Drama|Mystery|Thriller,English,USA,2015,Michael Mann,Chris Hemsworth|Archie Kao|Brandon Molale,http://www.imdb.com/title/tt2717822/,2015-07-16
Ted 2,Comedy,English,USA,2015,Seth MacFarlane,Liam Neeson|Morgan Freeman|Seth MacFarlane,http://www.imdb.com/title/tt2637276/,2015-05-02
Focus,Comedy|Crime|Drama|Romance,English,USA,2015,Glenn Ficarra,Will Smith|Adrian Martinez|Gerald McRaney,http://www.imdb.com/title/tt2381941/,2015-09-02
Everest,Adventure|Biography|Drama|History|Sport|Thriller,English,UK,2015,Baltasar Kormákur,Michael Kelly|Martin Henderson|Tom Goodman-Hill,http://www.imdb.com/title/tt2719848/,2015-02-09
Dragon Blade,Action|Adventure|Drama|History,Mandarin,China,2015,Daniel Lee,Si Won Choi|Peng Lin|Sung-jun Yoo,http://www.imdb.com/title/tt3672840/,2015-02-05
The Hateful Eight,Crime|Drama|Mystery|Thriller|Western,English,USA,2015,Quentin Tarantino,Craig Stark|Jennifer Jason Leigh|Zoë Bell,http://www.imdb.com/title/tt3460252/,2015-07-28
The Scorch Trials,Action|Sci-Fi|Thriller,English,USA,2015,Wes Ball,Ki Hong Lee|Lili Taylor|Rosa Salazar,http://www.imdb.com/title/tt4046784/,2015-09-09
Joy,Biography|Comedy|Drama,English,USA,2015,David O. Russell,Jennifer Lawrence|Robert De Niro|Bradley Cooper,http://www.imdb.com/title/tt2446980/,2015-09-10
Mortdecai,Action|Comedy|Mystery|Romance,English,UK,2015,David Koepp,Johnny Depp|Olivia Munn|Ulrich Thomsen,http://www.imdb.com/title/tt3045616/,2015-11-20
Goosebumps,Adventure|Comedy|Family|Fantasy|Horror,English,USA,2015,Rob Letterman,Odeya Rush|Dylan Minnette|Ken Marino,http://www.imdb.com/title/tt1051904/,2015-07-02
The Ridiculous 6,Comedy|Western,English,USA,2015,Frank Coraci,Taylor Lautner|Adam Sandler|Jon Lovitz,http://www.imdb.com/title/tt2479478/,2015-02-13
Black Mass,Biography|Crime|Drama,English,USA,2015,Scott Cooper,Johnny Depp|Benedict Cumberbatch|Adam Scott,http://www.imdb.com/title/tt1355683/,2015-07-10
Daddy's Home,Comedy|Family,English,USA,2015,Sean Anders,Will Ferrell|Linda Cardellini|Mark L. Young,http://www.imdb.com/title/tt1528854/,2015-08-09
Run All Night,Action|Crime|Drama|Thriller,English,USA,2015,Jaume Collet-Serra,Liam Neeson|Common|Bruce McGill,http://www.imdb.com/title/tt2199571/,2015-06-06
Chappie,Action|Crime|Drama|Sci-Fi|Thriller,English,USA,2015,Neill Blomkamp,Hugh Jackman|Sharlto Copley|Jose Pablo Cantillo,http://www.imdb.com/title/tt1823672/,2015-10-11
Child 44,Crime|Drama|Thriller,English,Czech Republic,2015,Daniel Espinosa,Tom Hardy|Fares Fares|Michael Nardone,http://www.imdb.com/title/tt1014763/,2015-12-01
Victor Frankenstein,Drama|Horror|Sci-Fi|Thriller,English,USA,2015,Paul McGuigan,Daniel Radcliffe|Spencer Wilding|Daniel Mays,http://www.imdb.com/title/tt1976009/,2015-10-23
Animal Kingdom: Let's go Ape,Adventure|Animation|Comedy|Family,French,France,2015,Jamel Debbouze,Jamel Debbouze|Youssef Hajdi|Mélissa Theuriau,http://www.imdb.com/title/tt1220911/,2015-02-17
Fifty Shades of Grey,Drama|Romance,English,USA,2015,Sam Taylor-Johnson,Jennifer Ehle|Luke Grimes|Callum Rennie,http://www.imdb.com/title/tt2322441/,2015-12-09
Get Hard,Comedy|Crime,English,USA,2015,Etan Cohen,Will Ferrell|Alison Brie|Craig T. Nelson,http://www.imdb.com/title/tt2561572/,2015-01-25
The Intern,Comedy|Drama,English,USA,2015,Nancy Meyers,Robert De Niro|Anne Hathaway|Rene Russo,http://www.imdb.com/title/tt2361509/,2015-05-05
Bridge of Spies,Drama|History|Thriller,English,USA,2015,Steven Spielberg,Tom Hanks|Mark Rylance|Amy Ryan,http://www.imdb.com/title/tt3682448/,2015-03-19
Victor Frankenstein,Drama|Horror|Sci-Fi|Thriller,English,USA,2015,Paul McGuigan,Daniel Radcliffe|Spencer Wilding|Daniel Mays,http://www.imdb.com/title/tt1976009/,2015-11-29
The Gunman,Action|Crime|Drama|Mystery|Thriller,English,USA,2015,Pierre Morel,Ray Winstone|Mark Rylance|Jasmine Trinca,http://www.imdb.com/title/tt2515034/,2015-07-05
Baahubali: The Beginning,Action|Adventure|Drama|Fantasy|War,Telugu,India,2015,S.S. Rajamouli,Tamannaah Bhatia|Anushka Shetty|Prabhas,http://www.imdb.com/title/tt2631186/,2015-08-31
Paul Blart: Mall Cop 2,Action|Comedy|Crime,English,USA,2015,Andy Fickman,D.B. Woodside|Daniella Alonso|Eduardo Verástegui,http://www.imdb.com/title/tt3450650/,2015-07-10
Creed,Drama|Sport,English,USA,2015,Ryan Coogler,Sylvester Stallone|Phylicia Rashad|Graham McTavish,http://www.imdb.com/title/tt3076658/,2015-09-29
Aloha,Comedy|Drama|Romance,English,USA,2015,Cameron Crowe,Emma Stone|Bradley Cooper|Bill Murray,http://www.imdb.com/title/tt1243974/,2015-03-14
Ip Man 3,Action|Biography|Drama|History,Cantonese,Hong Kong,2015,Wilson Yip,Mike Tyson|Lynn Hung|Kwok-Kwan Chan,http://www.imdb.com/title/tt2888046/,2015-09-10
Trainwreck,Comedy|Romance,English,Japan,2015,Judd Apatow,Amy Schumer|Randall Park|Josh Segarra,http://www.imdb.com/title/tt3152624/,2015-09-27
Heist,Action|Crime|Thriller,English,USA,2015,Scott Mann,Robert De Niro|Joshua Mikel|D.B. Sweeney,http://www.imdb.com/title/tt3276924/,2015-11-28
Concussion,Biography|Drama|Sport,English,UK,2015,Peter Landesman,Will Smith|Eddie Marsan|Albert Brooks,http://www.imdb.com/title/tt3322364/,2015-11-04
Hot Pursuit,Action|Comedy|Crime,English,USA,2015,Anne Fletcher,Jim Gaffigan|Richard T. Jones|Michael Mosley,http://www.imdb.com/title/tt2967224/,2015-03-01
The Walk,Adventure|Biography|Drama|Thriller,English,USA,2015,Robert Zemeckis,Joseph Gordon-Levitt|Soleyman Pierini|Jade Kindar-Martin,http://www.imdb.com/title/tt3488710/,2015-01-15
The Lovers,Action|Adventure|Romance|Sci-Fi,English,Belgium,2015,Roland Joffé,Tamsin Egerton|Alice Englert|Bipasha Basu,http://www.imdb.com/title/tt1321869/,2015-06-10
Unfinished Business,Comedy,English,USA,2015,Ken Scott,Tom Wilkinson|June Diane Raphael|Melissa McMeekin,http://www.imdb.com/title/tt2358925/,2015-03-21
The Longest Ride,Drama|Romance,English,USA,2015,George Tillman Jr.,Tiago Riani|Melissa Benoist|Hayley Lovitt,http://www.imdb.com/title/tt2726560/,2015-10-04
Vacation,Adventure|Comedy,English,USA,2015,John Francis Daley,Chris Hemsworth|Norman Reedus|Beverly D'Angelo,http://www.imdb.com/title/tt1524930/,2015-10-09
Sicario,Action|Crime|Drama|Mystery|Thriller,English,USA,2015,Denis Villeneuve,Edgar Arreola|Bernardo Saracino|Daniel Kaluuya,http://www.imdb.com/title/tt3397884/,2015-09-03
Southpaw,Drama|Sport,English,USA,2015,Antoine Fuqua,Jake Gyllenhaal|50 Cent|Oona Laurence,http://www.imdb.com/title/tt1798684/,2015-09-26
The Age of Adaline,Drama|Fantasy|Romance,English,USA,2015,Lee Toland Krieger,Harrison Ford|Michiel Huisman|Ellen Burstyn,http://www.imdb.com/title/tt1655441/,2015-09-02
Wild Card,Action|Crime|Drama|Thriller,English,USA,2015,Simon West,Jason Statham|Michael Angarano|Jason Alexander,http://www.imdb.com/title/tt2231253/,2015-05-09
A Warrior's Tail,Adventure|Animation|Fantasy,Russian,Russia,2015,Maksim Fadeev,Konstantin Khabenskiy|Fedor Bondarchuk|Sergey Garmash,http://www.imdb.com/title/tt4075322/,2015-02-27
Pitch Perfect 2,Comedy|Music,English,USA,2015,Elizabeth Banks,Anna Kendrick|Birgitte Hjort Sørensen|Hana Mae Lee,http://www.imdb.com/title/tt2848292/,2015-11-04
Straight Outta Compton,Biography|Crime|Drama|History|Music,English,USA,2015,F. Gary Gray,Aldis Hodge|Neil Brown Jr.|R. Marcos Taylor,http://www.imdb.com/title/tt1398426/,2015-04-05
The Big Short,Biography|Comedy|Drama|History,English,USA,2015,Adam McKay,Ryan Gosling|Christian Bale|Charlie Talbert,http://www.imdb.com/title/tt1596363/,2015-06-24
Our Brand Is Crisis,Comedy|Drama,English,USA,2015,David Gordon Green,Dominic Flores|Zoe Kazan|Scoot McNairy,http://www.imdb.com/title/tt1018765/,2015-12-22
Accidental Love,Comedy|Romance,English,USA,2015,David O. Russell,Jake Gyllenhaal|Kirstie Alley|Beverly D'Angelo,http://www.imdb.com/title/tt1137470/,2015-02-03
Self/less,Action|Mystery|Sci-Fi|Thriller,English,USA,2015,Tarsem Singh,Ryan Reynolds|Derek Luke|Sandra Ellis Lafferty,http://www.imdb.com/title/tt2140379/,2015-04-15
Legend,Biography|Crime|Drama|History|Thriller,English,UK,2015,Brian Helgeland,Tom Hardy|Paul Anderson|Tara Fitzgerald,http://www.imdb.com/title/tt3569230/,2015-04-04
The 33,Biography|Drama|History,English,Chile,2015,Patricia Riggen,Marco Treviño|James Brolin|Jacob Vargas,http://www.imdb.com/title/tt2006295/,2015-08-03
Point Break,Action|Crime|Sport|Thriller,English,USA,2015,Ericson Core,Ray Winstone|Edgar Ramírez|Delroy Lindo,http://www.imdb.com/title/tt2058673/,2015-02-09
Forsaken,Drama|Western,English,Canada,2015,Jon Cassar,Demi Moore|Landon Liboiron|Michael Wincott,http://www.imdb.com/title/tt2271563/,2015-12-06
Victor Frankenstein,Drama|Horror|Sci-Fi|Thriller,English,USA,2015,Paul McGuigan,Daniel Radcliffe|Spencer Wilding|Daniel Mays,http://www.imdb.com/title/tt1976009/,2015-07-22
The Transporter Refueled,Action|Crime|Thriller,English,France,2015,Camille Delamarre,Ed Skrein|Noémie Lenoir|Radivoje Bukvic,http://www.imdb.com/title/tt2938956/,2015-01-28
Max,Adventure|Family,English,USA,2015,Boaz Yakin,Jay Hernandez|Joseph Julian Soria|Edgar Arreola,http://www.imdb.com/title/tt3369806/,2015-05-16
Spotlight,Biography|Crime|Drama|History,English,USA,2015,Tom McCarthy,Billy Crudup|Jamey Sheridan|Brian d'Arcy James,http://www.imdb.com/title/tt1895587/,2015-06-14
Secret in Their Eyes,Crime|Drama|Mystery|Thriller,English,USA,2015,Billy Ray,Julia Roberts|Michael Kelly|Joe Cole,http://www.imdb.com/title/tt1741273/,2015-11-27
Burnt,Comedy|Drama,English,USA,2015,John Wells,Bradley Cooper|Omar Sy|Riccardo Scamarcio,http://www.imdb.com/title/tt2503944/,2015-12-31
Little Boy,Drama|War,English,Mexico,2015,Alejandro Monteverde,Tom Wilkinson|Cary-Hiroyuki Tagawa|Michael Rapaport,http://www.imdb.com/title/tt1810683/,2015-07-15
Courage,Biography|Drama|Sport,English,USA,2015,Angelo Pizzo,Donny Boaz|Finn Wittrock|Brent Anderson,http://www.imdb.com/title/tt3719896/,2015-04-20
By the Sea,Drama|Romance,English,USA,2015,Angelina Jolie Pitt,Brad Pitt|Angelina Jolie Pitt|Melvil Poupaud,http://www.imdb.com/title/tt3707106/,2015-05-20
Regression,Crime|Drama|Mystery|Thriller,English,Spain,2015,Alejandro Amenábar,Emma Watson|Aaron Ashmore|Julian Richings,http://www.imdb.com/title/tt3319920/,2015-10-26
Survivor,Action|Crime|Thriller,English,USA,2015,James McTeigue,Milla Jovovich|Roger Rees|Robert Forster,http://www.imdb.com/title/tt3247714/,2015-11-20
Love the Coopers,Comedy,English,USA,2015,Jessie Nelson,Olivia Wilde|Alex Borstein|Timothée Chalamet,http://www.imdb.com/title/tt2279339/,2015-05-31
Steve Jobs,Biography|Drama,English,UK,2015,Danny Boyle,Kate Winslet|Michael Fassbender|Michael Stuhlbarg,http://www.imdb.com/title/tt2080374/,2015-06-13
Forsaken,Drama|Western,English,Canada,2015,Jon Cassar,Demi Moore|Landon Liboiron|Michael Wincott,http://www.imdb.com/title/tt2271563/,2015-11-19
Krampus,Comedy|Fantasy|Horror,English,USA,2015,Michael Dougherty,Adam Scott|Conchata Ferrell|Allison Tolman,http://www.imdb.com/title/tt3850590/,2015-01-27
Aloha,Comedy|Drama|Romance,English,USA,2015,Cameron Crowe,Emma Stone|Bradley Cooper|Bill Murray,http://www.imdb.com/title/tt1243974/,2015-12-22
The Assassin,Action|Drama,Mandarin,Taiwan,2015,Hsiao-Hsien Hou,Qi Shu|Chen Chang|Satoshi Tsumabuki,http://www.imdb.com/title/tt3508840/,2015-06-08
Chiamatemi Francesco - Il Papa della gente,Biography,Spanish,Italy,2015,Daniele Luchetti,Maximilian Dirr|Rodrigo De la Serna|Ferdinando Vetere,http://www.imdb.com/title/tt3856124/,2015-10-26
Magic Mike XXL,Comedy|Drama|Music,English,USA,2015,Gregory Jacobs,Matt Bomer|Channing Tatum|Kevin Nash,http://www.imdb.com/title/tt2268016/,2015-06-09
Broken Horses,Action|Crime|Drama|Mystery|Thriller,English,USA,2015,Vidhu Vinod Chopra,María Valverde|Chris Marquette|Chad Bishop,http://www.imdb.com/title/tt2503954/,2015-12-11
Hot Tub Time Machine 2,Comedy|Sci-Fi,English,USA,2015,Steve Pink,Adam Scott|Gillian Jacobs|Collette Wolfe,http://www.imdb.com/title/tt2637294/,2015-11-20
Ex Machina,Drama|Mystery|Sci-Fi|Thriller,English,UK,2015,Alex Garland,Elina Alminas|Sonoya Mizuno|Corey Johnson,http://www.imdb.com/title/tt0470752/,2015-05-18
Room,Drama,English,Ireland,2015,Lenny Abrahamson,Joan Allen|Jacob Tremblay|Cas Anvar,http://www.imdb.com/title/tt3170832/,2015-03-03
The Vatican Tapes,Horror|Thriller,English,USA,2015,Mark Neveldine,Djimon Hounsou|Alison Lohman|Dougray Scott,http://www.imdb.com/title/tt1524575/,2015-07-06
Paper Towns,Drama|Mystery|Romance,English,USA,2015,Jake Schreier,Nat Wolff|Cara Delevingne|Meg Crosbie,http://www.imdb.com/title/tt3622592/,2015-03-06
Project Almanac,Sci-Fi|Thriller,English,USA,2015,Dean Israelite,Gary Weeks|Jonny Weston|Sofia Black-D'Elia,http://www.imdb.com/title/tt2436386/,2015-07-02
Home,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,English,USA,2015,Tim Johnson,Jim Parsons|Matt Jones|April Winchell,http://www.imdb.com/title/tt2224026/,2015-06-28
10 Days in a Madhouse,Drama,English,USA,2015,Timothy Hines,Christopher Lambert|Kelly LeBrock|Alexandra Callas,http://www.imdb.com/title/tt3453052/,2015-12-09
Dancin' It's On,Family|Musical,English,USA,2015,David Winters,Gary Daniels|Matt Marr|Ginger Jensen,http://www.imdb.com/title/tt2598580/,2015-11-07
A Tale of Three Cities,Drama,Chinese,China,2015,Mabel Cheung,Wei Tang|Ching Wan Lau|Hailu Qin,http://www.imdb.com/title/tt3682770/,2015-04-18
Brooklyn,Drama|Romance,English,UK,2015,John Crowley,Julie Walters|Fiona Glascott|Eva Birthistle,http://www.imdb.com/title/tt2381111/,2015-03-08
Woman in Gold,Biography|Drama|History,English,UK,2015,Simon Curtis,Ryan Reynolds|Frances Fisher|Elizabeth McGovern,http://www.imdb.com/title/tt2404425/,2015-01-31
Insidious: Chapter 3,Fantasy|Horror|Thriller,English,Canada,2015,Leigh Whannell,Lin Shaye|Hayley Kiyoko|Leigh Whannell,http://www.imdb.com/title/tt3195644/,2015-10-04
Sinister 2,Horror|Mystery|Thriller,English,USA,2015,Ciarán Foy,Laila Haley|James Ransone|Jaden Klein,http://www.imdb.com/title/tt2752772/,2015-09-19
The Second Best Exotic Marigold Hotel,Comedy|Drama,English,UK,2015,John Madden,Tina Desai|Celia Imrie|Ronald Pickup,http://www.imdb.com/title/tt2555736/,2015-09-09
The Gift,Mystery|Thriller,English,USA,2015,Joel Edgerton,Busy Philipps|Allison Tolman|Wendell Pierce,http://www.imdb.com/title/tt4178092/,2015-06-07
Danny Collins,Comedy|Drama|Music,English,USA,2015,Dan Fogelman,Al Pacino|Jennifer Garner|Melissa Benoist,http://www.imdb.com/title/tt1772288/,2015-09-23
Strangerland,Drama|Mystery|Thriller,English,Australia,2015,Kim Farrant,Nicholas Hamilton|Reef Ireland|Sean Keenan,http://www.imdb.com/title/tt2325977/,2015-06-17
Re-Kill,Action|Horror,English,USA,2015,Valeri Milev,Daniella Alonso|Roger Cross|Jesse Garcia,http://www.imdb.com/title/tt1612319/,2015-12-20
Into the Grizzly Maze,Action|Horror|Thriller,English,USA,2015,David Hackl,Scott Glenn|Michaela McManus|Luisa D'Oliveira,http://www.imdb.com/title/tt1694021/,2015-03-18
Heist,Action|Crime|Thriller,English,USA,2015,Scott Mann,Robert De Niro|Joshua Mikel|D.B. Sweeney,http://www.imdb.com/title/tt3276924/,2015-04-04
The DUFF,Comedy,English,USA,2015,Ari Sandel,Bella Thorne|Romany Malco|Skyler Samuels,http://www.imdb.com/title/tt1666801/,2015-12-02
Anomalisa,Animation|Comedy|Drama|Romance,English,USA,2015,Duke Johnson,Jennifer Jason Leigh|Tom Noonan|David Thewlis,http://www.imdb.com/title/tt2401878/,2015-01-06
Pound of Flesh,Action|Thriller,English,Canada,2015,Ernie Barbarash,Darren Shahlavi|Aki Aleong|Brahim Achabbakhe,http://www.imdb.com/title/tt3488328/,2015-12-30
Dope,Comedy|Crime|Drama,English,USA,2015,Rick Famuyiwa,Kimberly Elise|Rick Fox|Kiersey Clemons,http://www.imdb.com/title/tt3850214/,2015-10-02
Freeheld,Biography|Drama|Romance,English,USA,2015,Peter Sollett,Steve Carell|Josh Charles|Luke Grimes,http://www.imdb.com/title/tt1658801/,2015-07-18
Criminal Activities,Crime|Drama|Thriller,English,USA,2015,Jackie Earle Haley,Rex Baker|Edi Gathegi|Travis Aaron Wade,http://www.imdb.com/title/tt3687310/,2015-11-20
Goddess of Love,Drama|Horror|Mystery|Thriller,English,USA,2015,Jon Knautz,Rachel Alig|Monda Scott|Alexis Kendra,http://www.imdb.com/title/tt3432552/,2015-03-16
The Gift,Mystery|Thriller,English,USA,2015,Joel Edgerton,Busy Philipps|Allison Tolman|Wendell Pierce,http://www.imdb.com/title/tt4178092/,2015-04-17
The Lazarus Effect,Horror|Sci-Fi|Thriller,English,USA,2015,David Gelb,Olivia Wilde|Mark Duplass|Donald Glover,http://www.imdb.com/title/tt2918436/,2015-10-24
No Escape,Action|Thriller,English,USA,2015,John Erick Dowdle,Sterling Jerins|Claire Geare|Sahajak Boonthanakit,http://www.imdb.com/title/tt1781922/,2015-08-11
90 Minutes in Heaven,Drama,English,USA,2015,Michael Polish,Hayden Christensen|Bobby Batson|Cynthia Barrett,http://www.imdb.com/title/tt4337690/,2015-02-11
Green Room,Crime|Horror|Music|Thriller,English,USA,2015,Jeremy Saulnier,Alia Shawkat|Mark Webber|Joe Cole,http://www.imdb.com/title/tt4062536/,2015-12-05
The Visit,Horror|Thriller,English,USA,2015,M. Night Shyamalan,Ocean James|Patch Darragh|Olivia DeJonge,http://www.imdb.com/title/tt3567288/,2015-03-19
Area 51,Horror|Sci-Fi|Thriller,English,USA,2015,Oren Peli,Glenn Campbell|Sandra Staggs|Jelena Nik,http://www.imdb.com/title/tt1519461/,2015-11-04
Christmas Eve,Comedy,English,USA,2015,Mitch Davis,Gary Cole|Jon Heder|Cheryl Hines,http://www.imdb.com/title/tt3703148/,2015-10-26
Running Forever,Family,English,USA,2015,Mike Mayhall,David Raizor|Cody Howard|Martin Kove,http://www.imdb.com/title/tt4453560/,2015-11-19
Navy Seals vs. Zombies,Action|Horror,English,USA,2015,Stanton Barrett,Mikal Vega|Michael Dudikoff|Ed Quinn,http://www.imdb.com/title/tt4511566/,2015-08-10
R.L. Stine's Monsterville: The Cabinet of Souls,Comedy,English,USA,2015,Peter DeLuise,Katherine McNamara|Dove Cameron|Braeden Lemasters,http://www.imdb.com/title/tt4386242/,2015-12-30
Pan,Adventure|Family|Fantasy,English,USA,2015,Joe Wright,Hugh Jackman|Cara Delevingne|Nonso Anozie,http://www.imdb.com/title/tt3332064/,2015-07-07
Maggie,Drama|Horror,English,USA,2015,Henry Hobson,Joely Richardson|J.D. Evermore|David A Cole,http://www.imdb.com/title/tt1881002/,2015-01-19
The Boy Next Door,Mystery|Thriller,English,USA,2015,Rob Cohen,Ryan Guzman|Hill Harper|Adam Hicks,http://www.imdb.com/title/tt3181822/,2015-01-25
Zipper,Drama|Thriller,English,USA,2015,Mora Stephens,Ray Winstone|Alexandra Breckenridge|Elena Satine,http://www.imdb.com/title/tt3346224/,2015-03-01
